01		Rodentologist	The condition is ``Birds that eat [rodent]'', not ``Birds that only eat [rodent]'', and the clarification text is ``Any bird with a [rodent] symbol. The bird may also eat other kinds of food.'' (These misprints were corrected in the third printing, and a corrected card is available in the update pack.)	Card update pack.
20220213		Rodentologist	Only birds showing the [rodent] symbol in their printed food cost count; a [wild] (any food) symbol, e.g. \textbf{American Crow}, does not count.	https://stonemaiergames.com/games/wingspan/rules/comment-page-42/#comment-50542
02a		Bewick's Wren	When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
20250319		Blue Grosbeak	\textbf{Common Myna}'s habitat restriction applies only to where it can be played, not to where it can move, so if it copies \textbf{Blue Grosbeak}'s power it may move out of the [grassland].	https://stonemaiergames.com/games/wingspan/rules/comment-page-73/#comment-117991
02a		Blue Grosbeak	When using this bird's power to move it to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
20200528		Blue Grosbeak	Both ``beak'' and ``head'' are on the \textbf{Anatomist} list, so birds such as \textbf{Blue Grosbeak} and \textbf{Loggerhead Shrike} count. ``Horn'' is not on the list, so \textbf{Horned Lark} does not count; follow the printed list strictly, including the additions in the expansion rulebooks.	https://stonemaiergames.com/games/wingspan/rules/comment-page-19/#comment-38985
20221228		Blue Grosbeak	\textbf{Blue Grosbeak}'s power may be used every time it is activated, as long as no other bird in its habitat is to its right; it may be moved again to a different habitat on a later turn.	https://stonemaiergames.com/games/wingspan/rules/comment-page-53/#comment-57712
02a		Chimney Swift	When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
02a		Common Nighthawk	When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
02a		Lincoln's Sparrow	When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
20220521a		Song Sparrow	This bird may move from any column, including the leftmost one, as long as there are no birds to the right of it in its row (Appendix, page 12).	https://stonemaiergames.com/games/wingspan/rules/comment-page-47/#comment-52690
02a		Song Sparrow	When using this bird's power to move it to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
20191007		Song Sparrow	For the \textbf{food cost of played birds} end-of-round goal, the clarification to count only 1 food for birds with a choice in their food cost refers to the ``/'' in food costs. \textbf{Song Sparrow} ([invertebrate]/[seed]/[fruit]) counts as 1, while \textbf{Fish Crow} ([fish]+[wild]) counts as 2.	https://stonemaiergames.com/games/wingspan/wingspan-european-expansion/comment-page-3/#comment-35257
02a		White-Crowned Sparrow	When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
02a		Yellow-Breasted Chat	When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
02b		Omnivore Specialist	The percentage on this bonus card should be 16\%. (This misprint was corrected in print by February 2020.)	https://www.stonemaiergames.com/games/wingspan/rules/
02c	Prairie		The word \textit{prairie} is a keyword for the \textbf{Cartographer} bonus card. (This omission was corrected in print by December 2019.)	https://www.stonemaiergames.com/games/wingspan/rules/
20200331		Cartographer	``Turkey'' does not count as a geography term for the \textbf{Cartographer} bonus card, and neither does ``turkey vulture'' (turkey vultures are named after the bird, not the country).	https://stonemaiergames.com/games/wingspan/rules/comment-page-14/#comment-37518
